topic,probability,count
307.0,0.99487287621794,13
308.0,0.9782695257479793,13
309.0,0.9563361974112505,13
310.0,0.9609506677546966,13
311.0,0.997786227986276,13
312.0,0.9945012147335084,13
313.0,0.941957824901931,13
314.0,0.9496991996587437,13
315.0,0.8986880094100465,13
316.0,0.9785583381234004,13
317.0,0.9872503959014481,13
318.0,0.9764494660350338,13
319.0,0.9913878991062902,13
320.0,0.9872513406950785,13
321.0,0.9954742249642905,12
322.0,0.976068149813336,12
323.0,0.9749163302925276,12
324.0,0.9975648143581052,12
325.0,0.9931362978351052,12
326.0,0.9817965262415215,12
327.0,0.9753325010726864,12
328.0,0.9705610124440355,12
329.0,0.9961937982797177,12
330.0,0.9688662710410002,12
331.0,0.9936087865642462,11
332.0,0.998920129760264,11
333.0,1.0,11
334.0,0.9923770093361332,11
335.0,0.9997293174701042,11
336.0,0.9956749200979494,11
337.0,0.9982611241424105,11
338.0,0.9998739024724227,11
339.0,0.9953376487816346,11
340.0,1.0,11
341.0,0.9994356579152782,11
342.0,0.9996213445646788,11
343.0,0.9977486818043437,11
344.0,0.9985633634711529,11
345.0,0.9983355164967217,11
346.0,0.9793292021793838,11
347.0,1.0,10
348.0,1.0,10
349.0,1.0,10
350.0,1.0,10
351.0,1.0,10
352.0,1.0,10
353.0,1.0,10
354.0,1.0,10
355.0,1.0,10
356.0,1.0,10
357.0,1.0,10
358.0,1.0,10
